Emotion,Selected,Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Author
Joy,No,"What’s about 2 happen to @DonaldJTrumpJr  if he thinks he’s getting out of this thing he started. Ce La Vie. #Trump #KanyeWest #losers 

Pitbull - Timber (Audio) ft. Ke$ha https://t.co/kGsQ8lMlL1 via @YouTube",1/17/2021 6:03,en,,0,0,,BuckingTrends,Done with bullshit. Coming 4 throats. Hound Style.,1,0,0,0,0,FALSE,,,@TrendsBucking
Joy,No,"THIS!!! 👇👇👇👇👇Brilliant! 🇺🇸👏 
#GOP #Trump #TrumpTreason #TrumpSupporters #TraitorTrump #SaveOurDemocracy #CapitolRiot 
#GOPTraitorsToDemocracy #America #Country #DonaldTrump #CountryOverParty #News #TrumpAdministration #NewsUpdate https://t.co/Z5SPNdZBCa",1/17/2021 6:03,en,,0,0,,Elizabeth,Ready to live in the woods! Being an #Empath in this crazy world is a struggle. #M4A #BLM #ClimateChange #WearAMask,4242,10615,1672,699,2,FALSE,,,@UpNorth2026
Joy,No,"Trump can never reach this level!

#Trump #Putin https://t.co/Q6Y5EOiYwE",1/17/2021 6:03,en,,0,0,,Marx Wegener,Chauffeur at Darwin Limousines. Successful gadget geek and videographer.,709,568,62,15,0,FALSE,,,@MarxWegener
Joy,No,"@TruthAbtChina 💔 Absolutely heartbreaking! 💔

#Trump must do EVERYTHING possible to stop the CCP takeover of the US, in or out of office! He has a minimum of over 80 million people in the USA alone, excluding hundreds of millions more globally, who would stand up to assist &amp; cover his back!",1/17/2021 6:03,en,,0,0,@TruthAbtChina,Bella Rose🌹,"I am awake and this is the real me! My MECFS, my rants, my frustrations, my platform to be honest with the world. No pretending. No sugar-coating. No lies.",255,574,171,43,1,FALSE,,,@TheRealMe_Belle
Joy,No,Moving out. #Trump https://t.co/g4gF9CdXdM,1/17/2021 6:03,en,,0,0,,Stay safe,Life goes on....♡Many THX♡Pray for peace💕English & Japanese.,5021,5930,946,84,0,FALSE,,,@Botansan
Joy,No,"@SlsStudios @Transconductor1 @hesanaughtyboy @wisemanryder @AndrewRChapman @yourmomspants1 @FullMetalJa @zebub_b_l @Wolfpak561 @th1rt3en_TM @Quiptography @A_Damned_smith @fearing_aid @smug2bme @1pckt @willsworldview @Wilkyway71 @jackiebarbosa @WmManry @EdwardwongY @DocSnoe @VincePopArt @SBuddie1877 @HeathenWombat @BabeTruth2 @Freewillburnya @A_Draeros @Avic_Wins @wiguy45 @Jordan17910 @Allison23829042 @SDarkmore @zalphaprime @Cleisthenes5 @JohnKrahn2 @fixedintime @greg2467535753 @tk_the_kitsune @Lincolngrox @SplinterSimba @kester_lowers @CandySmith74 @Enby896 @AnnaVic88472217 @AtheistBigfoot @Galcondude @Realliously @tcunderdahl @Snowleopards12 @jpmommawilliams Here is #Trump on the world stage

THIS is what we see...
he made the USA a Joke. https://t.co/ScE7Yppt6U",1/17/2021 6:02,en,,0,0,@SlsStudios,The Creator Goddess Tiamat,"REAL mother of Dragons, Build a world from my corpse and there will be... shenanigans.
Serpent in the Garden and drinking partner of Lilith
 Still Socialist",3289,5462,179,120,1,FALSE,,,@SariellaEternal
Joy,No,"@donwinslow @GenevieveLee19 @kayleighmcenany Wait...how can that be? 

When #trump hired her she told us....and I quote @PressSec  ....

""I will never lie to you""

👇
Happy

Job

Hunting @kayleighmcenany 
😏",1/17/2021 6:02,en,,0,0,@donwinslow,Pete N 🇺🇸,"#trumpism = Fascism
Some #Capitolrioters  may have been simpletons, but others THINK they are revolutionaries & hatching plots right now.... #RESIST",4204,6908,473,320,1,FALSE,,,@Pete_NY1
Joy,No,"All 50 states on alert for an inauguration... yet, we're to believe this election wasn't tampered with, and that the majority want B/H? Come on now. #Election2020
#voterfraud #Trump #ElectionFraud",1/17/2021 6:02,en,,0,0,,ThatChick,That chick,33,54,42,6,0,FALSE,,,@BootsOnNecks
Joy,No,"Franklin Graham comparing #Trump to #Jesus, &amp; Pelosi to Judas, says it all @SamaritansPurse https://t.co/02jpvGuYU3",1/17/2021 6:02,en,GB,0,0,,Rev Steve Openshaw,"Husband Dad & Vicar of Christ Church, Walshaw. Tweets my own & not necessarily the views of my church or the CofE. No time to be drawn into dialogue I'm afraid.",2418,2667,311,517,17,FALSE,,,@StevenOpenshaw
Joy,No,"Incase you feel there is more of them than us, that's just Twitter censorship.  It's what they want you to think.  Don't forget !
#MAGA 
#Trump https://t.co/0mZDOMDxpj",1/17/2021 6:02,en,,1,0,,Tabi,"God loving MAGA 🇺🇸🇺🇸. Small business owner, Mom of girls, Wife of God Fearing man.",1219,636,296,192,0,FALSE,,,@Tabi05441459
Joy,No,"""There is 'no question' in Mary Trump’s mind that her uncle President Donald #Trump wanted his #mob of supporters to storm the U.S. Capitol last week... ""He really thought that that was a way to change the results of the legitimate election."" https://t.co/5ODA8MXoSS",1/17/2021 6:02,en,,0,0,,Dr. Phil Hendrix,immr | Researcher & Advisor | #Innovation #CX #Tech #Data #Analytics #Healthcare #Wellness #VR #Marketing #Startups | Former prof. Emory & U.M.,8366,4179,4383,2600,264,FALSE,,,@phil_hendrix
Joy,No,The 15 most notable lies of Donald Trump's presidency - CNNPolitics #trump 🤥 https://t.co/XR0OwEvvBV,1/17/2021 6:02,en,,0,0,,M.,We should seek to sort out our differences through a win-win dialogue.,27201,35034,323,670,134,FALSE,,,@Chodecka
Joy,No,"Seems like you are setting up the stage for the dictatorship. Slowly happening in front of your eyes, but with the excuse. What a hell happened to US we know? This is not the way #usa #freespeach #trump
-After Twitter banned Trump, misinformation plummeted https://t.co/P0f01yI2RS",1/17/2021 6:01,en,,0,0,,Digital Markings - Marko Dordevic,"Digital Markings @YouTube channel - tech news, leaks, rumors & opinions. @Apple #YouTuber #DigitalMarkings #MarkoDordevic - Bio: https://t.co/6GaXpxLvRn",7151,7095,1136,614,7,FALSE,,,@dordevicmarko
Joy,No,"WE BELONG TO GOD NOT TO THE BEAST OR IT'S IMAGE THE UNITED NATIONS... DO NOT TAKE THE JUICE!!!
#Marvel #Netflix #DisneyPlus #church #Jesus #trump #biden #sports #Cricket #Revelation #markofthebeast #UnitedNations https://t.co/zCW7GejXJP",1/17/2021 6:01,en,,0,0,,considerothersmoreimportant,PHILIPPIANS 2:3 CONSIDER OTHERS MORE IMPORTANT...,85,3,121,12,0,FALSE,,,@burgerbums
Joy,No,@Slate @JoshMankiewicz @ABCNetwork @DancingABC please DO NOT glorify any more of the #Trump staffers as you have in the past. These people are not stars they are criminals &amp; liars that have caused irreversible harm to the US &amp; world. @THR @Variety,1/17/2021 6:01,en,,0,0,@Slate,Kenny Norwick,"#ScreenActorsGuild eligible #actor. Professional #Videographer sports/concerts, Production crew - movies/TV. Born on #LakotaSioux land, now #Angeleno by choice.",17758,40417,349,282,4,FALSE,,,@kennynorwick
Sadness,No,3 days till #Trump is gone https://t.co/nioBqKm8ka,1/17/2021 6:01,en,,0,0,,Chris Michael Ward,Broadcaster / on Unmasked with Terry E Lyle on Friday nights at 7:30 est. #UnmaskedTerryELyle,149720,58613,4994,2863,52,FALSE,,,@ChrisMichaelW
Sadness,No,"Parler ""Go make your own network.....""
more news from iON / COVID invasion.
https://t.co/X4FAXFCW4I
@JamesOKeefeIII #trump #Parler",1/17/2021 6:00,en,,0,0,,Viceroy Trump,Viceroy of The free world,735,22,30,170,0,FALSE,,,@TrumpViceroy
Joy,No,"🚨🚨🚨🚨Just in -Due to security issues, the president Trump asked his family and friends to leave the White House tonight #trump #WhiteHouse      #family https://t.co/tlwgxWJTFw",1/17/2021 6:00,en,,0,0,,Media Faith,follow for the truth (this account won’t be here for long time ) 29/1/2021 /the account host by group,295,15,13,123,0,FALSE,,,@NMYAZE
Surprise,No,I guess #trump really got muted huh? Twitter seems so much more quiet lol #idiot #followme #donaldtrump #notmypresident #trending,1/17/2021 5:59,en,,0,0,,Alyssa X,Im spunky and outgoing.,823,109,928,231,2,FALSE,,,@darkeclipse666
Joy,No,"Joe Biden Holds Inaugural Celebration on YouTube -- Only 24K Tune in to His Channel -- Trump Holds YouTube Speech at Alamo and Got 804,000 Viewers WHILE HE SPOKE #ST0LEN via @gatewaypundit https://t.co/7ZoPVpA6LC  Just goes to show once again Who was elected president. #TRUMP",1/17/2021 5:59,en,,1,0,,Patriot Martyr TRUMP ROCKS USA 2020,"Rob Like's Music 60's 70's and the good ole 80's I Care about issues in our country, Patriotic American,  🇺🇸https://t.co/HGvPuafoi0 Same name on @Parler",153319,100721,5874,5816,63,FALSE,,,@Detrocker2264
Sadness,No,I already miss #Trump https://t.co/HAH8HxGXYe,1/17/2021 5:58,en,,0,0,,Raney Nickel,I like cats.,641,595,220,12,0,FALSE,,,@NickelRaney
Joy,No,"Can I just say, it worries me. What if #Trump decided to remove Biden and most of DC from office? I don't think he could get away with that, but he's gotten away with so much, and it's late at night, I can't say it's impossible.. https://t.co/tNWGJqT2qe",1/17/2021 5:58,en,,0,0,,Mad monk of Kimchi 💚,"Interested in many things.
WARNING: Will randomly try to fix the world with lots of cats.",3250,5668,54,34,2,FALSE,,,@MrKimchiBoy
Joy,No,"What the hell? The state of Florida continues its witch hunt, using the full force of the law (previously armed troopers, guns drawn) to intimidate, harass, and now punish a critic of #Trump ally and science denier Gov. #RonDeSantis? https://t.co/sRsFIVstNm",1/17/2021 5:58,en,,0,0,,Rudy Owens,"Detroit-born, U City-raised, author, communications/public health professional, curious traveler, and chronicler of the human condition, good and bad",12731,7396,541,384,63,FALSE,,,@RudySDOwens
Fear,No,Why is the system against #Trump why? Whenever you see the systems against someone just dear back and rethink,1/17/2021 5:58,en,,0,0,,Steven Mbugua,"Secretary LSK Thika Chapter; Advocate of the High court of Kenya, CPM(MTI),a father, husband & a friend to many",572,1470,201,106,0,FALSE,,,@WanjiruSteven
Sadness,No,@LaLaRocka @Cynthia35843537 @RadioFreeTom They truly exist. Sadly the #MAGA cult really think #Trump loves them. https://t.co/zvZrD8hIy8,1/17/2021 5:57,en,,0,0,@LaLaRocka,Political Junkie,,4143,2119,188,48,0,FALSE,,,@LailaJunkie
Joy,No,"@DonaldJTrumpJr what if there was a live #YouTube rally say Wednesday 11 am to 1 pm to thank supporters, staff, senators, etc  and do a check list of what was promised and what got done #trump @flotus",1/17/2021 5:57,en,,0,0,@DonaldJTrumpJr,Manly Products,Products used by Manly Men (Men who work hard and respect others) God bless America! Keep your TrueGrit in life. 🇺🇸,7558,51,1015,1154,41,FALSE,,,@manlyproducts
Joy,No,"#USPS A Package mailed Chicago Jan 4, two day priority to be delivered in Tucson Jan 16! Two day priority. Tracking indicates it was shipped by slow truck through Desmoines, Denver Phoenix where it departed Jan 12. To be delivered 100 miles away 4 days later! SHAME @USPS #TRUMP",1/17/2021 5:57,en,,0,0,,T. Friedmann,,259,84,27,17,0,FALSE,,,@T_Friedmann
Surprise,No,"@DanEggenWPost The grifter #Trump at it again. 
Wonder who will actually donate to him once he’s out of office.",1/17/2021 5:57,en,,0,0,@DanEggenWPost,Brandy Batliwala,an opinion but not always judgement #womensrights #RESIST #lgbtq #politics #sports #travel #food #film. my hero #FieldMarshalSamManekshaw,10180,15575,805,257,1,FALSE,,,@chatter16979696
Joy,No,Want to trigger the @DNC for eternity? Let’s form the “True Republican United Maga Party”(TRUMP) so they have to see Trump’s name on every ballot they ever cast! ##TRUMP #TrumpBestPrezEver #MAGA #4MoreYears,1/17/2021 5:57,en,,0,0,,@PresElectToBe,"Husband, Father, Husker, Padre , Chief, an Imperfect Christian but Perfected in Christ✝️ #MAGA IFBAP",2291,4604,1835,1806,0,FALSE,,,@PresElectToBe
Joy,No,"Win $75 grocery gift card -just take a simple survey👉https://t.co/vIQEDvTwpW

#trump #USA #USAElections2020 #grocery #Germany #women #womensfashion #WomensChampion #covid #CoronaVaccine #coronavirus #people #Canada #shop #marketing https://t.co/brY7NNIyzG",1/17/2021 5:56,en,US,1,0,@Lili68332961,Lili 🇨🇦,hello - i am Lili from canada,36,113,116,12,0,FALSE,,,@Lili68332961
Joy,No,"Win $75 Grocery Gift Card. Just Take a Simple Survey👉https://t.co/wSpGI36w2e

#trump #UFCFightIsland7 #BlackSwan #spotify #italy #world #worlwide #people #usa #usarmy #spain #uk #canada #WandaVision #usgirl #uspeople #usarmy #groceryshopping #grocery #grocerystore #women #USA https://t.co/AkzsQ6KRgV",1/17/2021 5:56,en,US,1,0,@Lili68332961,Lili 🇨🇦,hello - i am Lili from canada,36,113,116,12,0,FALSE,,,@Lili68332961
Joy,No,"Win $75 Grocery Gift Card. Just Take a Simple Survey👉https://t.co/wSpGI36w2e

#trump #UFCFightIsland7 #BlackSwan #spotify #italy #world #worlwide #people #usa #usarmy #spain #uk #canada #WandaVision #usgirl #uspeople #usarmy #groceryshopping #grocery #grocerystore #women #USA https://t.co/kZTkoTuyaF",1/17/2021 5:56,en,US,0,0,@Lili68332961,Lili 🇨🇦,hello - i am Lili from canada,36,113,116,12,0,FALSE,,,@Lili68332961
Joy,No,"@MeidasTouch @standforbetter If God wanted #tRUMP to win, wouldn’t he have actually won? Why do they always invoke @TheTweetOfGod ‘s name. Does that make everything they do okay? Also pillow guy just outed his nieces !!!!!! 😜",1/17/2021 5:56,en,,0,0,@MeidasTouch,Asymetrical,,37626,56868,4450,196,0,FALSE,,,@Asymetrical13
Joy,No,"Win $75 Grocery Gift Card. Just Take a Simple Survey👉https://t.co/wSpGI36w2e

#trump #UFCFightIsland7 #BlackSwan #spotify #italy #world #worlwide #people #usa #usarmy #spain #uk #canada #WandaVision #usgirl #uspeople #usarmy #groceryshopping #grocery #grocerystore #groceryhaul https://t.co/QkhgoDJBJM",1/17/2021 5:56,en,US,1,0,,Lili 🇨🇦,hello - i am Lili from canada,36,113,116,12,0,FALSE,,,@Lili68332961
Surprise,No,"Just out of curiosity what did more damage to Broadway? Trump, COVID, or the Cats movie?
#CATS #Broadway #Trump",1/17/2021 5:56,en,,0,0,,Tony Hutcherson,Independent thinker. Armchair Philosopher. Student of Life and History. Political party free since 2016.  “I yam what I yam and thats all that I yam” - Popeye,602,401,68,19,0,FALSE,,,@vern345
Joy,No,"The current occupant of the @whitehouse has let spread unchecked throughout the entire country a deadly disease, causing gross harm and immeasurable heartache. And, I’m only talking about the bigotry and corruption. #trump #COVID19 #immigration #WhiteSupremacy #GOPfascists",1/17/2021 5:56,en,,1,1,,(((RB Blair))) Proud Democrat | Wear A Damn Mask,"I tweet politics & follow cool cats. Be ruthless with institutions; be kind to individuals. #WearAMask! When we vote, we win!",244440,29911,11215,11846,322,FALSE,,,@TuxcedoCat
Surprise,No,"#MAGA #MAGAFOREVER #TRUMP2020ToSaveAmerica #Trump #StopTheSteaI2020 

Hey Y'all MAGA -- this is amazing!! THIS guy gets it!! https://t.co/Jad5vep8Td",1/17/2021 5:55,en,,0,0,,R Roberts,"""Never argue with stupid people, they will drag you down to their level and beat you with experience."" Twitter in a Mark Twain shell. #FBR",10025,7857,904,259,0,FALSE,,,@ForgiveUsPls
Joy,No,"Donald Trump for President 2020 Keep America Great
who wants to trump coin??#trump #2020prisedent",1/17/2021 5:55,en,,0,0,,Ava Olivia,OLI96,12,12,63,9,0,FALSE,,,@AvaOliv96
Joy,No,@w_terrence yeah @smoss was stupid for holding something this big but #Trump had been holding big events and super spreading all of last year and ended up getting #COVID..so how about you sit this one out. https://t.co/pyMoIMODrO,1/17/2021 5:55,en,,0,0,@w_terrence,Independent02,"I am a registered independent born and raised in the US and still a citizen,but live https://t.co/iMA2TR0PE8 Edition is the best group ever",75568,21084,866,273,24,FALSE,,,@Independent02
Joy,No,"@Lorrie07878949 @SpeakerPelosi Be honest, for once, didn't you take the same meme with #Trump's name &amp; photo, changed them to Biden's? 
Looks like you forgot one: ... grabbing Lorrie. 

It sure took you a long time, like 2 months!! Did you have to get help from your cousin-husband Billy Jack?

#TwiceImpeached",1/17/2021 5:55,en,,0,0,@Lorrie07878949,BPF,Twitter allows me to describe what I see in a few words & express how I feel about people & issues that are important to me,4575,4632,208,116,1,FALSE,,,@What_Do_I_See
Joy,No,Part of why #Trump targeted #ElizabethWarren is that she was on the same declining white rage trip as him. It's also why she went nowhere with Democratic voters and we now have Biden/Harris.,1/17/2021 5:55,en,,0,0,,Michael Orion Powell,Creator of the Roaring 2020s podcast. Rt does not = endorsement.,831,151,257,14,0,FALSE,,,@NgatchouNoir
Sadness,No,Trump will not get a military sendoff when he leaves DC--report  #Trump #military #sendoff https://t.co/VW1i9fHYwW,1/17/2021 5:55,en,,0,0,,AliceLipowicz,"Former reporter/writer for CQ, Crain's NY, Post-Newsweek Tech Media, FCW, WashTech, Conn Post. Set-Aside Alert editor. Also writing musicals for stage and Zoom.",31499,207,2012,3141,439,FALSE,,,@AliceLipowicz
Joy,No,"@Jim_Jordan The majority of Americans do not want to be harassed by #DonaldTrump or anyone, especially if they have the power of government. @Twitter @Facebook doesn't belong to government or #Trump. #GOP needs to stop lying about censorship. @jack @SpeakerPelosi @RepKatiePorter https://t.co/YLGdJOzEFw",1/17/2021 5:55,en,,0,0,@Jim_Jordan,Toughone,STOP THE HATE. STOP THE VIOLENCE. IT'S TIME FOR PEACE. PEACE IS NOW. UNITED AMERICA,21115,4969,379,56,0,FALSE,,,@Toughone6
Anger,No,Every time I check someone’s likes it gotta be porn #TikTok #Trump #viral #Video #4K #Batman,1/17/2021 5:54,en,,0,0,,kevin,twitch: https://t.co/lbRYe9Y7nB live by fate not by sight,81,94,12,2,0,FALSE,,,@sniperkev777
Joy,No,"110 million people are pissed - Perfect Storm. These nice little people are gonna show them who we are.
Nasty Pelosi ""Who is this b*tch"".
""Why I am on Facebook"" https://t.co/tVkqOua6OK
#trump",1/17/2021 5:54,en,,0,0,,Viceroy Trump,Viceroy of The free world,735,22,30,170,0,FALSE,,,@TrumpViceroy
Joy,No,"#BREAKING
Trump 2020 election Press Sec #HoganGidley issues stmt saying #Trump hasn't picked his legal representation for the Senate #ImpeachmentTrial.

This comes after Rudy #Giuliani told ABC News that he's working as part of Trump's #impeachment-trial defense.

#CapitolRiot https://t.co/FFSz4wm3eo",1/17/2021 5:54,en,,0,0,@DevonHeinen,Devon Heinen,"Journalist, freelancing for @BuzzFeedNews | Prev: @NewStatesman, @TheAtlantic, @VICE & more | Comments are mine. DMs open. devon.heinen@gmail.com",51602,0,146,826,100,FALSE,,,@DevonHeinen
Joy,No,"Yes, he deserves what he’s getting but so do #Trump; #Pence; #Cruz; Giuliani &amp; every #GOP representative who voted to overturn the election.
#TrumpCrimeFamilyForPrison https://t.co/KvvevWoqrP",1/17/2021 5:54,en,,0,0,,Jack Kolinski,Retired; dedicated writer of drivel; #Atheist; #Humanist; Enemy of religious superstition; singer; napper; #Grandpa (2nd best job in the world after Dad!),63350,113909,2656,1694,126,FALSE,,,@DonQuixote1950
Joy,No,"I do not go inciting violence hate lies
I write poetry about life
I also comment on issues of #humanrights #animalrights Injustices of #Laws
you only have 2 think of #Trump who nominated Brett Kavanaugh Associate Justice of the Supreme Court
Got out of Sexual Assault Rape Charges",1/17/2021 5:54,en,,0,0,,Beez Laine,https://t.co/dJmSQoHJYg Registered Protected https://t.co/0zL6RBlx3b Poetry HumanRights A #Voice Against #Violence all forms re #Females #Graves #FM #ptsd,465052,294651,4143,8509,681,FALSE,,,@beezknez
Sadness,No,"Suck it up princess you're going to jail.
https://t.co/ujjoG8oEWJ

#nopardons #MAGATerrorists #DonaldTrump #TrumpTreason #TrumpsTerrorists #Trump",1/17/2021 5:53,en,,0,0,,𝐓𝐨𝐫𝐢𝐞𝐬𝐀𝐫𝐞𝐊𝐢𝐥𝐥𝐢𝐧𝐠𝐁𝐫𝐢𝐭𝐚𝐢𝐧,The Tories are killing Britain. Lets put a STOP to it. LIKE us on facebook https://t.co/Ntbxhrdcdv Ⓥ,44846,61259,293,1866,33,FALSE,,,@killingbritain
Anger,No,"Watch and listen and maybe understand why I’m so pissed.🇺🇸 
#Trump #AmericaOrTrump #America https://t.co/so0sFhYmo9",1/17/2021 5:53,en,,0,0,,Glen Borst,"Husband, dad, comic book nerd, 501st Legion, Godzilla and 80’s Toys and cartoons. I honestly don’t see what my wife sees in me either. 😉",30064,60662,464,655,34,FALSE,,,@TrooperTK602
Joy,No,"It's so beautiful to wake up and #Trump isn't trending and staining our #democracy @Jack @Twitter #Twitter
Good decision! https://t.co/nHFZDFycf0",1/17/2021 5:53,en,,0,0,,Michael van Mind,#MvM #MichaelvanMind,17917,13740,438,133,42,FALSE,,,@MichaelvanMind
Joy,No,"i fought hard to get rid of #trump, donated liberally to #Biden, but now with his plan to legalize 11 million illegals is running a shudder down my spine, this will open the floodgates to a never ending deluge of border crossers, this will be a disaster &amp; may need 2 vote GOP",1/17/2021 5:52,en,,1,0,,The Anxious Middle,"he/him, Biden help Americans first, then grant illegals with zero criminal records, a work permit for 2 years, else we lose this nation.",819,910,152,46,0,FALSE,,,@risingstar2021
Joy,No,"next Wednesday
  ,
  The lame duckling stage ends
  ,
  The period of 100 days begins
  ,
  ,
  Fasten your belts
   And enjoy the ride :))))
  ,
  #America #Trump #Biden #John_Biden #U_S_A",1/17/2021 5:52,en,,0,1,,أحمد بن متروك العازمي,حاصل على درجة البكالوريوس في (( العلوم السياسية )) جامعة الكويت #بسمات_وطن #تعس_عبد_الاحزاب,87086,367,709,5844,10,FALSE,,,@A_Binmatrok
Fear,No,"All 50 US states on alert for armed protests

https://t.co/El7ZjjG6q3

#armedprotests #Columbia #JoeBiden #Trump #US #CapitolRiots",1/17/2021 5:52,en,,0,0,,Treta,"MIVDO & BANDHU❇️ Bharat Ke Apne Apps • On Google Play Store
ON THE DOT • Stories around the Globe.
#MakeinIndia to #Makefortheworld
@ Aditya: 9833026960",1169,111,155,410,0,FALSE,,,@MIVDO1
Joy,No,@NikkiHaley @standamericanow #Trump must be brought to account for all his criminal activities during (and before) his presidency; else the precedents he has set will embolden any future autocrat or—heaven forbid—theocrat—to the serious detriment of a free and just society … https://t.co/Pr39RDhvz6,1/17/2021 5:52,en,,1,0,@NikkiHaley,Philip Cohen,Vociferous Trump critic.,37086,14194,176,279,3,FALSE,,,@PhilipCohen5
Joy,No,"The Mall will be closed on @JoeBiden s #Inauguration? Too bad,  because the turnout would have been huge and #Trump would have been defeated again. 

#NationalMall #Biden #CapitolRiot https://t.co/bx6ZNlmkcX",1/17/2021 5:52,en,,0,0,,Michael van Mind,#MvM #MichaelvanMind,17917,13740,438,133,42,FALSE,,,@MichaelvanMind
Joy,No,"The amount of narcissism &amp; psychopathy throughout the entire #Trump family is absolutely astounding. I will never understand how anyone followed them in such a bizarre, cult like way. I often wonder  if our country will ever be able to recover from all that has happened. https://t.co/UEVWtsaAni",1/17/2021 5:52,en,,1,0,,Ahava Makuta אהבה 🌊✡️⚖️,Jewish. Liberal. Autistic. Mosaic (Down Syndrome). Future attorney. ⚖️ #BlueWave #BLM #BIDENHARRIS2020. #Resist No DM’s please. 🌊,1649,17978,9530,9495,6,FALSE,,,@ahava_makuta
Sadness,No,damn dude. no wonder he’s getting ghosted rn #trump #rudy #ghosted #wow https://t.co/OIbGERcME1,1/17/2021 5:51,en,,2,0,,Ryan Hunter,"helping my boy don thru a bad breakup, 1 day at a time 💔",822,7409,1062,1464,49,FALSE,,,@Ryan_Hunter
Joy,No,"If you believe that this Jenna Ryan is an actual Trump supporter, or any that breached the Capitol, you are either naive or are completely brainwashed by liberal media.  Ryan and others are ANTIFA- attempting to sabotage the peace Trump called for. #Trump

https://t.co/ymrAOfjvnY",1/17/2021 5:51,en,,0,0,,Daemon Golgoth,,95,1,0,1,0,FALSE,,,@daemon9
