Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Author
"Mark my words:  #TraitorTrump SOLD the #CovidVaccines  just like they sold the #PPE's.
#Russia #SaudiArabia #TheOnePercent

The #Trump Administration Was Just Kidding When It Said It Had Tons More #Vaccine Doses to Ship Out (It Has Zero) https://t.co/2zFDrY0szB via @VanityFair",1/17/2021 5:43,en,,3,0,,Dr. Bobby Sands,"I wear a mask because I'm, like, a stable genius but I ALSO care about other people.

Harvard '05 PhD Anthro
MS Defense and Strategic Studies",53603,70386,6457,6009,5,FALSE,,,@kaoconnor
"ALERT!!!
#MAGA
#BLM
#TRUMP
#ANTIFA
#BIDEN
#Pelosi
#KamalaHarris 
Definition changed!
Racist NOW MEANS  Difference of Opinion...
No longer need to be offended.",1/17/2021 5:43,en,,1,0,,Tabi,"God loving MAGA 🇺🇸🇺🇸. Small business owner, Mom of girls, Wife of God Fearing man.",1214,635,296,191,0,FALSE,,,@Tabi05441459
"@kim @TallyAnnaE Tbh, what I can’t comprehend is the number of women who support #tRump. Do they all want him to move on them like a bxtch &amp; grab them by the pxssy while he enjoys #goldenshowers? What in the actual f do they see in him? Asking @RepBoebert @laurenboebert because she’s a #tRumpHo",1/17/2021 5:43,en,,1,0,@kim,Hywel ap Rees,The moral majority win. tRump is dumped & his next and final stop will be jail.  #BidenHarris. #AmericaHeals. #Election2020,10678,11245,3761,2107,17,FALSE,,,@haprees
@Cleavon_MD Shaving cut #Trump,1/17/2021 5:43,en,,0,0,@Cleavon_MD,Sasha Kemmis-Powers,"Author, TV personality, Social Media Influencer.  Disruptor, changing the game",26011,3550,2124,207,0,FALSE,,,@PRedsoxnation
"3.5 days &amp; we need a purge of all #Trump appointees &amp; loyalists from positions of responsibility (which is all of them) in US military &amp; intelligence agencies. #Trump is a traitor &amp; we can only conclude his supporters are as well.
#DeTrumpAmerica
https://t.co/gzf2xW8ovQ",1/17/2021 5:43,en,,0,0,,(((Iz_Here))) 😷 #WearAFuckinMask,Agnostic multiculturalist progressive. Ppl deserve respect on contact; DISrespect is earned. Corps≠ppl; $≠speech; RTs≠endorsements. #TheResistance. he/them/hers,43593,10300,223,450,33,FALSE,,,@Iz_Here
"#JoeBiden's top aide said Saturday the incoming president would sign about a dozen executive orders on his first day in office, as police fearing violence from #Trump supporters staged a nationwide security operation ahead of the inauguration
https://t.co/y16VodxqOg",1/17/2021 5:42,en,,2,0,,The Daily Star,"Bangladesh's largest English Daily. The latest & breaking news, features, analysis and more from @dailystarnews.",154417,481,82,864944,824,TRUE,,,@dailystarnews
@maddow #Assassination &amp; #massmurder of #PoliticalAdversaries #NeverTrumpers &amp; demolition of #American #Democracy &amp; hello #Trump #Dictatorship in his #desperate attempt of what ever it takes #murder #kill to seize permanent #power like #Putin &amp; #KimJongUn &amp; #JESUS. #GrandFinale #CivilWar https://t.co/zJbUAE8WN5,1/17/2021 5:42,en,,0,0,@maddow,Deeism,"Humorous intelligent activism. I challenge the Status Quo! I question authority! I boldly advocate! Social Justice, Equality, Liberty & Human Rights for ALL!",1353,798,451,17,0,FALSE,,,@DeeTruj29603568
"Hopefully, any and all of the evil this man and his minions have foisted on the world will be smudged and cleansed away, never ever slithering their way into leadership again. Goddess rest the souls of those lost due to the empty hearts of #tRump https://t.co/D202XApZWi",1/17/2021 5:41,en,,0,0,,TreeLove,"We Will Overcome!  all lives matter, liberal, social justice, animal advocate, lives in the woods with wonderful cats and wildlife.",9517,4993,510,79,8,FALSE,,,@nltmoon
Why is Giuliani saying Jefferson didn't accept ballots from the states in 1800? #Trump https://t.co/Rp1gx878rs,1/17/2021 5:40,en,,0,0,,Thomas,"Neither a Democrat, Republican, or Libertarian. Complete independent thinker; calling it the way I see it. Believe in limited government, Liberty & Justice.",8712,5646,704,567,35,FALSE,,,@Lbrty77
#TRUMP 90 million followers.  Twitter is acting like a baby... They took all Trump's followers.  It means nothing Twitter. You can't take our love for the GREATEST POTUS IN HISTORY!🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸💖 https://t.co/6W34EgGOGz,1/17/2021 5:40,en,,0,0,,NorthCountry,"Trust in the Lord!
God Bl3ss Pr3sid3nt TR$MP #FightLikeAFynn #GodWins",27116,21128,1768,771,2,FALSE,,,@KittyLouCat
"Breaking News: #Trump staffers working feverishly to build a Potemkin village at Joint Andrews Air Force Base as Trump takes his last ride on the ""big plane."" It is said to have cut-outs of foreign dignitaries, hamberders, a real red carpet, and a 21-gun military jet soundtrack.",1/17/2021 5:39,en,,0,0,,Gregg Kawczynski,"OFA & All On The Line, Long Beach, CA; Obama 2012 LB Rally Center Lead; former Mgr, Housing Dev. & Preservation, L.A. County; CSULB Poly Sci/Urban Studies, J.D.",7587,1645,2347,835,5,FALSE,,,@_gkazzz
"With a defense like this, how could #trump possibly lose. https://t.co/tdaDIubFyk",1/17/2021 5:39,en,,0,0,,Quincy Johnson II,"Actor, Comedian, Host
THE MOST INTERESTING DRUNK IN THE WORLD!",35918,15949,1490,2651,59,FALSE,,,@QuincyJohnsonII
"Thank you @TwitterSupport for acknowledging my report, this is not the first time @khamenei_ir has Tweeted threats. I am sure you will suspend his account just as you did to President #Trump https://t.co/yzn57L6a7y",1/17/2021 5:39,en,,4,3,,Tara 💙🇮🇱💙👁‍🗨 🇿️#NeverAgainIsNow 🇿️,"""if you can't mourn AriFuld you are an accomplice in his murder"" 🇮🇪🇮🇱🇺🇸🇬🇧✡️#BringAhlamTamimiToJustice",92016,58251,4121,3848,6,FALSE,,,@irishzionist
"He sure does have a lot to hide. #Trump 

Will Trump's mishandling of records leave a hole in history? (from @AP) https://t.co/benSX5CL8n",1/17/2021 5:39,en,,1,0,,2011teacher,You can't accept or normalize bigotry.  Not even from a president. #StandUpFightBack Organize now! #TheResistance #NotMyPresident,62037,10222,1512,1263,117,FALSE,,,@2011teacher
"@normanswan @yourauntemma 
“Do not elect narcissistic psychopaths to positions of power. That's because once there, they will destroy the system(&amp; people)they're chosen to govern, along with everything else, &amp; there won't be anything you can do about it.”

Media gave #Trump an easy 2016 ride",1/17/2021 5:39,en,,1,0,@normanswan,joan kunze,"a part of It All - 
swimming in the Haiku Ocean - 
an iced chocolate svp - 
shook Neil Armstrong's hand - 
sand buckets at the ready",120650,18848,3188,2703,7,FALSE,,,@madameshawshank
@MaryJoe38642126 @DebbieMcqueen11 @NCUSCR @WangGuanBeijing @AP @WHO #covid @NBCNews @ABC @FoxNews @dogs @CTVW5 @CNNnewsroom @OutFrontCNN @cnnbrk @cnn REPORT‼️. The world needs to know‼️ #together we can #stop‼️‼️ #China #dogs #trump #FoxNews #cnn #puppies @dogcatsave @ASPCA,1/17/2021 5:38,en,,0,0,@MaryJoe38642126,neeners,"Trying to help animals. Be thier voice. ❤️❤️ #stopyulin2015 #notodogmeat
warning. VERY GRAPHIC.",20994,8332,1062,759,9,FALSE,,,@DeneenFlipper
i was just added in a random gc of 100 old ppl with this pic sent... i have a lot of words but can someone give me a good factual response to say back #BidenHarris2020 #Trump #biden https://t.co/y80xsm0dxu,1/17/2021 5:38,en,,0,0,,d,#WALLS (she/her) 🌈🤍🦋🍒,10550,13372,2953,2229,11,FALSE,,,@daynalwt
Article #wilmington #washington #trump #history #BLM #BlackLivesMatter https://t.co/4irLNGfcVU,1/17/2021 5:38,en,,0,0,,Jay 💙,"Palliative care, social work, justice/fairness, classical music, ballet, funk/soul, cats, rugby league, cricket, lemurs, all things Yorkshire! 💙Barbican.",3530,11094,2608,169,0,FALSE,,,@Jay01906579
Now danger is over! Kick #Trump if he still tries some tricks! https://t.co/LIjq9gI83V,1/17/2021 5:38,en,,0,0,,Proletariat,"Marx, Engels, Lenin, Stalin, Enver Hoxha!  African, Asian, Latin American, European Revolutionaries!
https://t.co/wfeNXJBrMw…",7791,323,398,407,2,FALSE,,,@Proletarian11
"I would really like to tell everyone that still supports trump to go fuck themselves and people who claim antifa were the cause of the capitol violence to go fuck themselves twice.
#FuckTrump #FuckTheGop #PutinsPuppet #FuckAllTrumps #trump #DrowsyDonald #DraftDodgerDonny #Treason",1/17/2021 5:38,en,,2,1,,Al Ritch (No Lists Please),"Democrat, 20 year vet 12 yrs Marines, 8 yrs N.Guard, pro-choice, feminist, anti-trump, anti-NRA gun owner, anti-racist, pro-science atheist, happily married man",8978,20088,979,759,3,FALSE,,,@TheSgtAl
Fuck Biden and Fuck you for voting for him. #JoeBiden #DemocratsAreDestroyingAmerica #Trump #StopTheSteaI2020 #BidenCrimeFamilly #TRUMP2020ToSaveAmerica,1/17/2021 5:37,en,,0,0,,Meow Meow 101,"Draftkings competitor, Beer drinker,🇺🇸Donald Trump supporter 🇺🇸",3151,2567,21,90,0,FALSE,,,@Meow_Meow1011
@thedailybeast Good grief! The people around Mar-a-lago don't even like him. He thinks he's going to have a Library in Florida? The first bookless library from the illiterate president. More likely will end up in the #Trump Museum of unfinished projects.👵🐾,1/17/2021 5:37,en,,0,0,@thedailybeast,Little Black Devil dog,"I'm an observer/intuitive. I 've  followed politics for some time. I write poetry, also articles. VP Property Mgt. No Lists! 🌊🌊🎶🐕🐎🐺🦅🇺🇸♈",5856,4275,2157,1014,0,FALSE,,,@leiter_robin
"@NPR The only send-off #Trump deserves is a swift kick in the ass. Officials are considering elaborate event complete w/ red carpet, color guard, military band and 21-gun salute. Are you kidding me? This man deserves nothing but contempt as he leaves.https://t.co/YDESi1OfDH",1/17/2021 5:37,en,,1,0,@NPR,Silvija Vecrumba,"Freelance writer & political junkie; Love hubby, dogs, books; dislike: liars, cheats, crooked politicians; Trump :-p NO DM's!!
co-owner/editor: https://t.co/QiGQDgeEAe",1834,3138,2170,449,0,FALSE,,,@SVecrumba
@JackPosobiec @ScottAdamsSays Anybody that is anti #Trump needs to be in a padded room and severely questioned. And definitely not allowed near children,1/17/2021 5:37,en,,0,0,@JackPosobiec,Warren,none,134,11,1,1,0,FALSE,,,@Warren01542008
@axios they will be on record how they vote you can't say #Trump incited this and then vote No,1/17/2021 5:37,en,,2,0,@axios,Independent02,"I am a registered independent born and raised in the US and still a citizen,but live https://t.co/iMA2TR0PE8 Edition is the best group ever",75567,21084,866,273,24,FALSE,,,@Independent02
"The police arrested a man at a security checkpoint in Washington with an unregistered handgun and 500 rounds of ammunition, officials said. #fakenews #trending #jan20 #trump  https://t.co/R7n6FlhfAL",1/17/2021 5:37,en,,0,0,,Duchess,"Night gathers, and now my watch begins. It shall not end until my death.",3199,1541,544,110,2,FALSE,,,@whesleysgirl
Then you will support #impeachment if #Trump!  He told people to march on the #USCapital! #Overthrow! https://t.co/s6Jtmtt9fo,1/17/2021 5:37,en,US,0,0,,toxicacc,"Toxicologist/Teacher/Mother/Wife/Mathematician who cares about people, animals and the Earth and still believes all of these plus business can succeed.#Democrat",3258,23104,148,33,1,FALSE,,,@toxicacc
#Trump is not here anymore. https://t.co/KtKxJkSlrK,1/17/2021 5:36,en,,0,0,,Don Juan C 唐璜,"Born too shy. Later, got too bold. #journalism & #photography https://t.co/O7o5QgGLVw
https://t.co/NbFoOhIQAj
Now trying to clean the #ocean and save the #earth",4586,475,624,382,20,FALSE,,,@donjuanc
